DATE,MABMM301USQ657S
1960-01-01,0.504823872559998
1960-04-01,0.825985042973548
1960-07-01,1.78235359238348
1960-10-01,1.45747226452034
1961-01-01,1.72598627787307
1961-04-01,1.84424069975763
1961-07-01,1.68667218543046
1961-10-01,1.76045588684238
1962-01-01,2.06999999999999
1962-04-01,2.11619476829626
1962-07-01,1.55425501295212
1962-10-01,2.00283419933869
1963-01-01,2.23210150967863
1963-04-01,2.17430693966297
1963-07-01,2.03050186203228
1963-10-01,1.93795081254889
1964-01-01,1.67092924126172
1964-04-01,1.71054838168707
1964-07-01,2.25886232481452
1964-10-01,2.04772653982585
1965-01-01,1.99873597724762
1965-04-01,1.66524668886993
1965-07-01,1.95032759408807
1965-10-01,2.18950829472425
1966-01-01,1.92321755027423
1966-04-01,1.20533792509686
1966-07-01,0.588402098397849
1966-10-01,1.007822961449
1967-01-01,1.61875523304492
1967-04-01,2.39631969239222
1967-07-01,2.71575135787568
1967-10-01,2.11515863689776
1968-01-01,1.7133358905511
1968-04-01,1.64676304211187
1968-07-01,1.94162750432846
1968-10-01,2.31711755428848
1969-01-01,1.70737491107422
1969-04-01,0.88015854511541
1969-07-01,0.635580978794703
1969-10-01,0.861227536315123
1970-01-01,0.370011954232352
1970-04-01,0.674909255898365
1970-07-01,2.25902766041349
1970-10-01,2.68840899074483
1971-01-01,3.20815450643777
1971-04-01,3.86214783241501
1971-07-01,2.97782893749063
1971-10-01,2.70703732503887
1972-01-01,3.00951119102826
1972-04-01,2.50356010841103
1972-07-01,3.36560007170387
1972-10-01,3.32104920875784
1973-01-01,2.37505769795645
1973-04-01,1.64364471041523
1973-07-01,1.40333897894991
1973-10-01,1.28847530422331
1974-01-01,1.84530820573225
1974-04-01,1.20663068619892
1974-07-01,1.07035386432028
1974-10-01,1.53011230873594
1975-01-01,1.90794357832222
1975-04-01,3.66431121148102
1975-07-01,3.64371047083626
1975-10-01,2.41380479370783
1976-01-01,3.17786090238007
1976-04-01,3.00298373383811
1976-07-01,2.65690702382807
1976-10-01,3.62279264518478
1977-01-01,3.39950808151792
1977-04-01,2.69305921332087
1977-07-01,2.30255901169203
1977-10-01,2.07013666136554
1978-01-01,1.86706102939235
1978-04-01,1.86654223051796
1978-07-01,1.86287982898153
1978-10-01,1.86878528956177
1979-01-01,1.46662088585865
1979-04-01,2.3711689065068
1979-07-01,2.36583004745828
1979-10-01,1.48771767962172
1980-01-01,1.75227272727273
1980-04-01,1.48757007884567
1980-07-01,3.0217664018311
1980-10-01,2.12347788933989
1981-01-01,1.71115387833657
1981-04-01,2.70453704084568
1981-07-01,1.77223301359713
1981-10-01,2.58155916728976
1982-01-01,2.26339816626387
1982-04-01,2.13639944479873
1982-07-01,1.64912860632104
1982-10-01,2.24386189951402
1983-01-01,5.51481632003958
1983-04-01,2.57561040961919
1983-07-01,1.58035655978579
1983-10-01,1.81613629058182
1984-01-01,2.15627466456193
1984-04-01,2.15248161196615
1984-07-01,1.32205902373352
1984-10-01,2.21548751175673
1985-01-01,3.00874874026903
1985-04-01,1.76953507167468
1985-07-01,2.12330198537094
1985-10-01,1.47341709982402
1986-01-01,1.48160098952661
1986-04-01,2.64304924418065
1986-07-01,2.49496618307606
1986-10-01,2.21385485272449
1987-01-01,1.58192368819839
1987-04-01,0.85020193812084
1987-07-01,0.6193477005965
1987-10-01,1.11633021382383
1988-01-01,1.75411638160307
1988-04-01,1.93529650926411
1988-07-01,0.92306640380165
1988-10-01,0.876232201533416
1989-01-01,0.558559163616425
1989-04-01,0.689033349659366
1989-07-01,1.92139737991267
1989-10-01,1.9589339754645
1990-01-01,1.44895158459136
1990-04-01,0.836820083681986
1990-07-01,1.09402136045508
1990-10-01,0.746829062554665
1991-01-01,1.22936173254234
1991-04-01,1.1418081318526
1991-07-01,0.385946366419676
1991-10-01,0.315914961255723
1992-01-01,0.864544752322281
1992-04-01,0.0648005419681491
1992-07-01,0.110874535160975
1992-10-01,0.705674801528974
1993-01-01,-0.289051094890499
1993-04-01,0.442153963280706
1993-07-01,0.479077993508651
1993-10-01,0.593816187777427
1994-01-01,0.282656975570377
1994-04-01,0.200370061453219
1994-07-01,0.0803704695931439
1994-10-01,-0.0200764818355474
1995-01-01,0.148213312424116
1995-04-01,0.944296980923097
1995-07-01,1.76120617084266
1995-10-01,0.96946600362503
1996-01-01,1.23172662665243
1996-04-01,1.21128348762345
1996-07-01,0.940717712807056
1996-10-01,1.35297521028974
1997-01-01,1.3665305405524
1997-04-01,1.12717789656995
1997-07-01,1.5609739380751
1997-10-01,1.56566338237278
1998-01-01,1.82225913621263
1998-04-01,1.87040148783791
1998-07-01,1.69273022812623
1998-10-01,2.59210557397184
1999-01-01,1.77062466901523
1999-04-01,1.45701357466063
1999-07-01,1.49183837302649
1999-10-01,1.36298054035843
2000-01-01,1.55924855491331
2000-04-01,1.67902218301341
2000-07-01,1.17759834310584
2000-10-01,1.48270067288611
2001-01-01,2.6392722068895
2001-04-01,2.5269224129918
2001-07-01,2.24446977153809
2001-10-01,2.29716891506744
2002-01-01,1.73975494839554
2002-04-01,0.795365338623602
2002-07-01,1.89151985703417
2002-10-01,2.05194143404813
2003-01-01,1.64721593218372
2003-04-01,1.98438312189047
2003-07-01,2.02866568463265
2003-10-01,-0.0894803006098792
2004-01-01,0.768681318681316
2004-04-01,2.12596579043506
2004-07-01,1.12334354878321
2004-10-01,1.32627955354221
2005-01-01,0.561709932573972
2005-04-01,0.703656110097832
2005-07-01,1.42474916387958
2005-10-01,1.33726327751259
2006-01-01,1.30309629295889
