DATE,FPCPITOTLZGJPN
1960-01-01,3.57451152535914
1961-01-01,5.36846178480055
1962-01-01,6.83544034819732
1963-01-01,6.70690556397991
1964-01-01,3.8003894530575
1965-01-01,6.65599094260619
1966-01-01,5.04083205887677
1967-01-01,3.98984808881514
1968-01-01,5.3394329573935
1969-01-01,5.2498209110202
1970-01-01,6.92417383485783
1971-01-01,6.39534883720931
1972-01-01,4.84351713859909
1973-01-01,11.608623548922
1974-01-01,23.2222458076842
1975-01-01,11.7312661498708
1976-01-01,9.37403638606229
1977-01-01,8.16182689596842
1978-01-01,4.20956601068684
1979-01-01,3.70185092546274
1980-01-01,7.77858176555714
1981-01-01,4.91216291820522
1982-01-01,2.74104095563138
1983-01-01,1.89971971348492
1984-01-01,2.26161369193155
1985-01-01,2.03227734608485
1986-01-01,0.59558679945326
1987-01-01,0.12617684169661
1988-01-01,0.678557580457528
1989-01-01,2.27228962064317
1990-01-01,3.07851628695158
1991-01-01,3.25143848753312
1992-01-01,1.76028306059266
1993-01-01,1.24304589707929
1994-01-01,0.695458057868992
1995-01-01,-0.127899045020497
1996-01-01,0.136600358575949
1997-01-01,1.74780458692129
1998-01-01,0.661974191385979
1999-01-01,-0.341296928327639
2000-01-01,-0.676578683595068
2001-01-01,-0.740055504162799
2002-01-01,-0.923494026942322
2003-01-01,-0.256541816316057
2004-01-01,-0.00857338820302009
2005-01-01,-0.282946068764459
2006-01-01,0.249355116079115
2007-01-01,0.0600394544986581
2008-01-01,1.38007886164923
2009-01-01,-1.3528367295172
2010-01-01,-0.728243207517742
2011-01-01,-0.272455616101254
2012-01-01,-0.0440645104433029
2013-01-01,0.335037912184809
2014-01-01,2.75922671353253
2015-01-01,0.795279630579775
2016-01-01,-0.127258844489691
2017-01-01,0.484199796126387
2018-01-01,0.989094598021806
2019-01-01,0.468776159383912
2020-01-01,-0.0249958340276592
2021-01-01,-0.233352779398279
2022-01-01,2.49770278172251
